Dataset,RulesFrom,Model,Accuracy (%),Precision (%),Recall (%),F1 Score (%),Balanced Accuracy (%),MCC (%),Error Rate (%),AUC (%),Time Training (s)
adult,DT,EBM,82.8036235221864,73.81203801478352,44.49395289624443,55.52025416997617,69.73787082286928,47.90966901820312,17.1963764778136,82.55921457848021,1.5119569301605225
adult,DT,EBMLASSO,82.94180869031167,73.92670157068063,45.025510204081634,55.965120887831944,69.99506046098925,48.33346576680449,17.05819130968832,82.98833727120778,1.3272662162780762
adult,DT,FIGS,82.8036235221864,73.81203801478352,44.49395289624443,55.52025416997617,69.73787082286928,47.90966901820312,17.1963764778136,82.55921457848021,3.837754726409912
adult,DT,GAM,82.91110087517272,73.8719832109129,44.89795918367347,55.850852836176124,69.93128495078517,48.22115682049684,17.08889912482727,83.40108540888549,0.8016729354858398
adult,DT,SLIM,72.36296637494243,46.18421052631579,89.54081632653062,60.9375,78.22844658591444,48.38201690624113,27.637033625057573,78.22844658591444,0.20879411697387695
adult,DT,TREEGAM,82.8036235221864,73.81203801478352,44.49395289624443,55.52025416997617,69.73787082286928,47.90966901820312,17.1963764778136,82.55921457848021,7.093825101852417
adult,RF,EBM,79.68678028558269,68.84498480243161,28.83513685550605,40.646029609690444,62.3435093423625,35.04545576065062,20.31321971441732,81.42457600463273,7.624435901641846
adult,RF,EBMLASSO,80.16275142023646,69.88472622478386,30.931122448979593,42.88240495137047,63.35231552175976,37.00316270818125,19.837248579763546,81.41477812055054,13.088937997817993
adult,RF,FIGS,79.68678028558269,68.7311178247734,28.962444302991724,40.75235109717868,62.38692834332104,35.07430225424954,20.31321971441732,81.5356608974737,6.874300956726074
adult,RF,GAM,78.67342238599724,65.24701873935264,24.426020408163264,35.54524361948956,60.15032061864179,30.308612774127404,21.326577614002762,78.82466055178392,0.7609143257141113
adult,RF,SLIM,71.41102410563488,45.10652463382157,86.41581632653062,59.273840769903764,76.53450068095995,45.51509401500153,28.58897589436512,76.49922102309074,0.3790168762207031
adult,RF,TREEGAM,79.61001074773529,67.8939617083947,29.344366645448762,40.97777777777778,62.4665985392359,34.905939638379735,20.389989252264705,81.42542609483246,54.87766194343567
breast_cancer,DT,EBM,95.6140350877193,97.14285714285714,95.77464788732394,96.45390070921985,95.56174254831313,90.72320103372488,4.385964912280704,98.44415329184409,0.3747220039367676
breast_cancer,DT,EBMLASSO,92.98245614035088,98.48484848484848,90.27777777777779,94.20289855072464,93.9484126984127,85.87593858469221,7.017543859649122,97.20568783068782,0.6016390323638916
breast_cancer,DT,FIGS,95.6140350877193,97.14285714285714,95.77464788732394,96.45390070921985,95.56174254831313,90.72320103372488,4.385964912280704,98.44415329184409,3.56707501411438
breast_cancer,DT,GAM,91.22807017543859,100.0,86.11111111111111,92.53731343283582,93.05555555555556,83.39741126155059,8.771929824561408,98.31349206349206,0.02272820472717285
